Xe-130(n,tot) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 296.923
1.03125E-05 292.407
1.06250E-05 288.092
1.09375E-05 283.963
1.12500E-05 280.008
1.15625E-05 276.215
1.18750E-05 272.572
1.21875E-05 269.071
1.25000E-05 265.702
1.28125E-05 262.457
1.31250E-05 259.329
1.34375E-05 256.311
1.37500E-05 253.397
1.43750E-05 247.856
1.50000E-05 242.666
1.56250E-05 237.791
1.62500E-05 233.201
1.68750E-05 228.869
1.75000E-05 224.771
1.81250E-05 220.887
1.87500E-05 217.200
1.93750E-05 213.693
2.00000E-05 210.353
2.09375E-05 205.625
2.18750E-05 201.206
2.28125E-05 197.063
2.37500E-05 193.168
2.46875E-05 189.498
2.56250E-05 186.032
2.65625E-05 182.751
2.75000E-05 179.640
2.84375E-05 176.685
2.93750E-05 173.873
3.03125E-05 171.193
3.12500E-05 168.635
3.21875E-05 166.190
3.31250E-05 163.849
3.40625E-05 161.607
3.50000E-05 159.455
3.59375E-05 157.389
3.68750E-05 155.402
3.78125E-05 153.490
3.87500E-05 151.648
3.96875E-05 149.872
4.06250E-05 148.158
4.25000E-05 144.903
4.43750E-05 141.857
4.62500E-05 138.999
4.81250E-05 136.311
5.00000E-05 133.776
5.15625E-05 131.771
5.31250E-05 129.855
5.46875E-05 128.023
5.62500E-05 126.267
5.78125E-05 124.584
5.93750E-05 122.969
6.09375E-05 121.416
6.25000E-05 119.922
6.40625E-05 118.484
6.56250E-05 117.097
6.71875E-05 115.760
6.87500E-05 114.469
7.18750E-05 112.015
7.50000E-05 109.717
7.81250E-05 107.559
8.12500E-05 105.528
8.43750E-05 103.612
8.75000E-05 101.800
9.06250E-05 100.084
9.37500E-05 98.4551
9.68750E-05 96.9063
0.000100000 95.4314
0.000103125 94.0247
0.000106250 92.6811
0.000109375 91.3961
0.000112500 90.1656
0.000115625 88.9858
0.000118750 87.8534
0.000121875 86.7653
0.000125000 85.7188
0.000128125 84.7112
0.000131250 83.7402
0.000134375 82.8037
0.000137500 81.8996
0.000143750 80.1819
0.000150000 78.5740
0.000156250 77.0648
0.000162500 75.6446
0.000168750 74.3051
0.000175000 73.0390
0.000181250 71.8399
0.000187500 70.7021
0.000193750 69.6206
0.000200000 68.5909
0.000209375 67.1350
0.000218750 65.7752
0.000228125 64.5014
0.000237500 63.3049
0.000246875 62.1784
0.000256250 61.1153
0.000265625 60.1099
0.000275000 59.1572
0.000284375 58.2528
0.000293750 57.3928
0.000303125 56.5738
0.000312500 55.7925
0.000321875 55.0462
0.000331250 54.3324
0.000340625 53.6488
0.000350000 52.9934
0.000359375 52.3642
0.000368750 51.7597
0.000378125 51.1782
0.000387500 50.6183
0.000396875 50.0787
0.000406250 49.5583
0.000425000 48.5705
0.000443750 47.6472
0.000462500 46.7817
0.000481250 45.9682
0.000500000 45.2018
0.000515625 44.5959
0.000531250 44.0175
0.000546875 43.4645
0.000562500 42.9351
0.000578125 42.4278
0.000593750 41.9409
0.000609375 41.4733
0.000625000 41.0237
0.000640625 40.5909
0.000656250 40.1740
0.000671875 39.7719
0.000687500 39.3839
0.000718750 38.6469
0.000750000 37.9572
0.000781250 37.3101
0.000812500 36.7014
0.000843750 36.1273
0.000875000 35.5849
0.000906250 35.0712
0.000937500 34.5839
0.000968750 34.1207
0.00100000 33.6797
0.00103125 33.2593
0.00106250 32.8579
0.00109375 32.4741
0.00112500 32.1066
0.00115625 31.7544
0.00118750 31.4163
0.00121875 31.0916
0.00125000 30.7793
0.00128125 30.4786
0.00131250 30.1890
0.00134375 29.9096
0.00137500 29.6399
0.00143750 29.1276
0.00150000 28.6481
0.00156250 28.1980
0.00162500 27.7745
0.00168750 27.3751
0.00175000 26.9975
0.00181250 26.6399
0.00187500 26.3005
0.00193750 25.9779
0.00200000 25.6707
0.00209375 25.2362
0.00218750 24.8304
0.00228125 24.4500
0.00237500 24.0927
0.00246875 23.7562
0.00256250 23.4384
0.00265625 23.1379
0.00275000 22.8530
0.00284375 22.5824
0.00293750 22.3250
0.00303125 22.0798
0.00312500 21.8458
0.00321875 21.6222
0.00331250 21.4083
0.00340625 21.2033
0.00350000 21.0067
0.00359375 20.8179
0.00368750 20.6364
0.00378125 20.4618
0.00387500 20.2936
0.00396875 20.1314
0.00406250 19.9750
0.00425000 19.6779
