Te-120(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 117.709
1.03125E-05 115.912
1.06250E-05 114.194
1.09375E-05 112.551
1.12500E-05 110.977
1.15625E-05 109.467
1.18750E-05 108.017
1.21875E-05 106.623
1.25000E-05 105.282
1.28125E-05 103.990
1.31250E-05 102.745
1.34375E-05 101.543
1.37500E-05 100.382
1.43750E-05 98.1758
1.50000E-05 96.1087
1.56250E-05 94.1669
1.62500E-05 92.3383
1.68750E-05 90.6122
1.75000E-05 88.9794
1.81250E-05 87.4318
1.87500E-05 85.9622
1.93750E-05 84.5644
2.00000E-05 83.2326
2.09375E-05 81.3478
2.18750E-05 79.5856
2.28125E-05 77.9331
2.37500E-05 76.3795
2.46875E-05 74.9152
2.56250E-05 73.5320
2.65625E-05 72.2227
2.75000E-05 70.9810
2.84375E-05 69.8012
2.93750E-05 68.6783
3.03125E-05 67.6079
3.12500E-05 66.5861
3.21875E-05 65.6092
3.31250E-05 64.6741
3.40625E-05 63.7779
3.50000E-05 62.9179
3.59375E-05 62.0918
3.68750E-05 61.2974
3.78125E-05 60.5328
3.87500E-05 59.7961
3.96875E-05 59.0856
4.06250E-05 58.3998
4.25000E-05 57.0971
4.43750E-05 55.8778
4.62500E-05 54.7334
4.81250E-05 53.6566
5.00000E-05 52.6409
5.15625E-05 51.8372
5.31250E-05 51.0692
5.46875E-05 50.3343
5.62500E-05 49.6303
5.78125E-05 48.9550
5.93750E-05 48.3066
6.09375E-05 47.6833
6.25000E-05 47.0835
6.40625E-05 46.5057
6.56250E-05 45.9487
6.71875E-05 45.4113
6.87500E-05 44.8923
7.18750E-05 43.9055
7.50000E-05 42.9811
7.81250E-05 42.1127
8.12500E-05 41.2949
8.43750E-05 40.5230
8.75000E-05 39.7928
9.06250E-05 39.1007
9.37500E-05 38.4435
9.68750E-05 37.8183
0.000100000 37.2227
0.000103125 36.6544
0.000106250 36.1114
0.000109375 35.5917
0.000112500 35.0939
0.000115625 34.6164
0.000118750 34.1579
0.000121875 33.7172
0.000125000 33.2930
0.000128125 32.8845
0.000131250 32.4907
0.000134375 32.1106
0.000137500 31.7436
0.000143750 31.0459
0.000150000 30.3922
0.000156250 29.7782
0.000162500 29.1999
0.000168750 28.6541
0.000175000 28.1377
0.000181250 27.6483
0.000187500 27.1836
0.000193750 26.7416
0.000200000 26.3204
0.000209375 25.7244
0.000218750 25.1672
0.000228125 24.6446
0.000237500 24.1533
0.000246875 23.6902
0.000256250 23.2528
0.000265625 22.8388
0.000275000 22.4461
0.000284375 22.0730
0.000293750 21.7180
0.000303125 21.3795
0.000312500 21.0563
0.000321875 20.7474
0.000331250 20.4517
0.000340625 20.1683
0.000350000 19.8964
0.000359375 19.6351
0.000368750 19.3839
0.000378125 19.1421
0.000387500 18.9092
0.000396875 18.6845
0.000406250 18.4676
0.000425000 18.0557
0.000443750 17.6701
0.000462500 17.3082
0.000481250 16.9677
0.000500000 16.6465
0.000515625 16.3923
0.000531250 16.1495
0.000546875 15.9171
0.000562500 15.6945
0.000578125 15.4809
0.000593750 15.2759
0.000609375 15.0788
0.000625000 14.8891
0.000640625 14.7064
0.000656250 14.5303
0.000671875 14.3603
0.000687500 14.1962
0.000718750 13.8842
0.000750000 13.5918
0.000781250 13.3172
0.000812500 13.0586
0.000843750 12.8145
0.000875000 12.5836
0.000906250 12.3647
0.000937500 12.1569
0.000968750 11.9592
0.00100000 11.7709
0.00103125 11.5912
0.00106250 11.4195
0.00109375 11.2551
0.00112500 11.0977
0.00115625 10.9467
0.00118750 10.8017
0.00121875 10.6623
0.00125000 10.5282
0.00128125 10.3990
0.00131250 10.2745
0.00134375 10.1543
0.00137500 10.0383
0.00143750 9.81763
0.00150000 9.61092
0.00156250 9.41674
0.00162500 9.23387
0.00168750 9.06126
0.00175000 8.89798
0.00181250 8.74322
0.00187500 8.59627
0.00193750 8.45648
0.00200000 8.32330
0.00209375 8.13482
0.00218750 7.95859
0.00228125 7.79334
0.00237500 7.63797
0.00246875 7.49154
0.00256250 7.35322
0.00265625 7.22228
0.00275000 7.09811
0.00284375 6.98012
0.00293750 6.86783
0.00303125 6.76079
0.00312500 6.65860
0.00321875 6.56091
0.00331250 6.46740
0.00340625 6.37778
0.00350000 6.29178
0.00359375 6.20917
0.00368750 6.12973
0.00378125 6.05326
0.00387500 5.97959
0.00396875 5.90854
0.00406250 5.83997
0.00425000 5.70969
0.00443750 5.58776
0.00462500 5.47332
0.00481250 5.36564
0.00500000 5.26407
0.00515625 5.18370
0.00531250 5.10690
0.00546875 5.03342
0.00562500 4.96302
0.00578125 4.89549
0.00593750 4.83065
0.00609375 4.76832
0.00625000 4.70834
0.00640625 4.65057
0.00656250 4.59487
0.00671875 4.54113
0.00687500 4.48923
0.00718750 4.39055
0.00750000 4.29811
0.00781250 4.21127
0.00812500 4.12949
0.00843750 4.05229
0.00875000 3.97927
0.00906250 3.91005
0.00937500 3.84433
0.00968750 3.78181
0.0100000 3.72224
0.0103125 3.66541
0.0106250 3.61110
0.0109375 3.55914
0.0112500 3.50936
0.0115625 3.46161
0.0118750 3.41576
0.0121875 3.37169
0.0125000 3.32928
0.0128125 3.28843
0.0131250 3.24906
0.0134375 3.21106
0.0137500 3.17437
0.0143750 3.10460
0.0150000 3.03924
0.0156250 2.97784
0.0162500 2.92001
0.0168750 2.86542
