Ce-136(n,g) ENDFB-8.0
Energy(eV) XS(b)
1.00000E-05 375.090
1.03125E-05 369.364
1.06250E-05 363.891
1.09375E-05 358.655
1.12500E-05 353.639
1.15625E-05 348.827
1.18750E-05 344.207
1.21875E-05 339.765
1.25000E-05 335.491
1.28125E-05 331.374
1.31250E-05 327.406
1.34375E-05 323.576
1.37500E-05 319.878
1.43750E-05 312.847
1.50000E-05 306.260
1.56250E-05 300.072
1.62500E-05 294.245
1.68750E-05 288.745
1.75000E-05 283.542
1.81250E-05 278.610
1.87500E-05 273.927
1.93750E-05 269.473
2.00000E-05 265.229
2.09375E-05 259.223
2.18750E-05 253.607
2.28125E-05 248.342
2.37500E-05 243.391
2.46875E-05 238.725
2.56250E-05 234.317
2.65625E-05 230.145
2.75000E-05 226.188
2.84375E-05 222.428
2.93750E-05 218.850
3.03125E-05 215.439
3.12500E-05 212.183
3.21875E-05 209.070
3.31250E-05 206.091
3.40625E-05 203.235
3.50000E-05 200.494
3.59375E-05 197.862
3.68750E-05 195.330
3.78125E-05 192.894
3.87500E-05 190.546
3.96875E-05 188.282
4.06250E-05 186.097
4.25000E-05 181.946
4.43750E-05 178.060
4.62500E-05 174.413
4.81250E-05 170.982
5.00000E-05 167.745
5.15625E-05 165.184
5.31250E-05 162.737
5.46875E-05 160.395
5.62500E-05 158.152
5.78125E-05 156.000
5.93750E-05 153.934
6.09375E-05 151.947
6.25000E-05 150.036
6.40625E-05 148.195
6.56250E-05 146.420
6.71875E-05 144.708
6.87500E-05 143.054
7.18750E-05 139.909
7.50000E-05 136.964
7.81250E-05 134.196
8.12500E-05 131.590
8.43750E-05 129.130
8.75000E-05 126.804
9.06250E-05 124.598
9.37500E-05 122.504
9.68750E-05 120.512
0.000100000 118.614
0.000103125 116.803
0.000106250 115.072
0.000109375 113.417
0.000112500 111.830
0.000115625 110.309
0.000118750 108.848
0.000121875 107.443
0.000125000 106.091
0.000128125 104.790
0.000131250 103.535
0.000134375 102.324
0.000137500 101.154
0.000143750 98.9308
0.000150000 96.8478
0.000156250 94.8910
0.000162500 93.0483
0.000168750 91.3089
0.000175000 89.6636
0.000181250 88.1041
0.000187500 86.6232
0.000193750 85.2146
0.000200000 83.8726
0.000209375 81.9733
0.000218750 80.1975
0.000228125 78.5323
0.000237500 76.9667
0.000246875 75.4912
0.000256250 74.0974
0.000265625 72.7780
0.000275000 71.5267
0.000284375 70.3378
0.000293750 69.2063
0.000303125 68.1277
0.000312500 67.0980
0.000321875 66.1136
0.000331250 65.1713
0.000340625 64.2682
0.000350000 63.4016
0.000359375 62.5692
0.000368750 61.7687
0.000378125 60.9981
0.000387500 60.2557
0.000396875 59.5398
0.000406250 58.8488
0.000425000 57.5360
0.000443750 56.3073
0.000462500 55.1541
0.000481250 54.0690
0.000500000 53.0455
0.000515625 52.2356
0.000531250 51.4617
0.000546875 50.7212
0.000562500 50.0118
0.000578125 49.3313
0.000593750 48.6779
0.000609375 48.0498
0.000625000 47.4453
0.000640625 46.8632
0.000656250 46.3019
0.000671875 45.7603
0.000687500 45.2374
0.000718750 44.2430
0.000750000 43.3115
0.000781250 42.4364
0.000812500 41.6123
0.000843750 40.8344
0.000875000 40.0986
0.000906250 39.4012
0.000937500 38.7389
0.000968750 38.1090
0.00100000 37.5088
0.00103125 36.9361
0.00106250 36.3889
0.00109375 35.8653
0.00112500 35.3637
0.00115625 34.8825
0.00118750 34.4205
0.00121875 33.9763
0.00125000 33.5489
0.00128125 33.1373
0.00131250 32.7404
0.00134375 32.3574
0.00137500 31.9876
0.00143750 31.2845
0.00150000 30.6258
0.00156250 30.0070
0.00162500 29.4243
0.00168750 28.8743
0.00175000 28.3540
0.00181250 27.8608
0.00187500 27.3925
0.00193750 26.9470
0.00200000 26.5226
0.00209375 25.9220
0.00218750 25.3604
0.00228125 24.8338
0.00237500 24.3387
0.00246875 23.8721
0.00256250 23.4313
0.00265625 23.0141
0.00275000 22.6184
0.00284375 22.2424
0.00293750 21.8845
0.00303125 21.5434
0.00312500 21.2178
0.00321875 20.9065
0.00331250 20.6085
0.00340625 20.3229
0.00350000 20.0488
0.00359375 19.7856
0.00368750 19.5324
0.00378125 19.2888
0.00387500 19.0540
0.00396875 18.8276
0.00406250 18.6091
0.00425000 18.1939
0.00443750 17.8053
0.00462500 17.4407
0.00481250 17.0975
0.00500000 16.7738
0.00515625 16.5177
0.00531250 16.2730
0.00546875 16.0388
0.00562500 15.8145
0.00578125 15.5993
0.00593750 15.3926
0.00609375 15.1940
0.00625000 15.0029
0.00640625 14.8188
0.00656250 14.6413
0.00671875 14.4700
0.00687500 14.3046
0.00718750 13.9902
0.00750000 13.6956
0.00781250 13.4189
0.00812500 13.1582
0.00843750 12.9122
0.00875000 12.6795
0.00906250 12.4589
0.00937500 12.2495
0.00968750 12.0502
0.0100000 11.8604
0.0103125 11.6793
0.0106250 11.5062
0.0109375 11.3406
0.0112500 11.1819
0.0115625 11.0298
0.0118750 10.8837
0.0121875 10.7432
0.0125000 10.6081
0.0128125 10.4779
0.0131250 10.3524
0.0134375 10.2313
0.0137500 10.1144
0.0143750 9.89204
0.0150000 9.68374
0.0156250 9.48806
0.0162500 9.30376
0.0168750 9.12979
0.0175000 8.96521
0.0181250 8.80921
0.0187500 8.66108
0.0193750 8.52018
0.0200000 8.38593
0.0206625 8.25033
0.0213250 8.12110
0.0219875 7.99776
0.0226500 7.87987
0.0233125 7.76704
0.0239750 7.65893
0.0246375 7.55521
0.0253000 7.45559
0.0264578 7.29056
0.0276156 7.13604
0.0287734 6.99095
0.0299313 6.85437
0.0310891 6.72552
0.0322469 6.60367
0.0334047 6.48821
0.0345625 6.37860
0.0355274 6.29137
0.0364922 6.20761
0.0374570 6.12709
0.0384219 6.04962
0.0393867 5.97501
0.0403516 5.90308
0.0413164 5.83369
0.0422813 5.76668
0.0442109 5.63931
0.0461406 5.52001
0.0480703 5.40797
0.0500000 5.30248
0.0515625 5.22144
0.0531250 5.14401
0.0546875 5.06991
0.0562500 4.99893
